null	NUITS-ST-GEORGES	78.1	44.4
null	DIJON SUD	79.8	45.2
null	DIJON-CRIMOLOIS	80.4	45.9
null	L ISLE-S/LE-DOUBS	89.1	51.0
null	BEAUNE NORD	76.1	43.3
null	SOIRANS	80.8	46.3
null	BESANCON EST	85.0	48.7
null	SAINT MAURICE	93.3	53.8
null	BAUME-LES-DAMES	87.6	50.3
null	BESANCON NORD	85.0	48.3
null	BESANCON OUEST	85.0	48.2
null	GENDREY	82.6	47.3
null	DOLE	81.6	46.4
null	CHOISEY	81.6	46.4
null	SEURRE	79.3	45.0
null	FEILLENS	83.7	48.0
null	REPLONGES	83.7	48.0
null	BOURG NORD	86.2	49.3
null	VIRIAT	86.3	49.9
null	BOURG SUD	87.3	50.5
null	ST MARTIN-DU-FRESNE	91.7	53.0
null	SYLANS	92.3	53.3
null	SAINT GENIS	87.8	50.2
null	BEYNOST	93.2	53.8
null	BALAN	90.9	52.2
null	PEROUGES	90.9	52.2
null	LA BOISSE	94.6	54.6
null	AMBERIEU	90.0	51.6
null	PONT D AIN	88.6	51.1
null	LA CROIX-CHALON	91.9	53.0
null	DIJON-ARC S/TILLE	81.2	46.2
null	TIL CHATEL	78.6	44.5
null	LANGRES SUD	76.3	43.3
null	LANGRES NORD	75.6	42.7
null	MONTIGNY-LE-ROI	77.2	43.7
null	GROISSIAT	93.6	54.0
null	BULGNEVILLE	80.2	45.3
null	CHATENOIS	80.5	45.9
null	COLOMBEY-LES-BELLES	83.1	47.0
null	GYE	85.2	48.1
null	CHAUMONT-SEMOUTIERS	73.6	41.5
null	VILLE SOUS LAFERTE	72.0	40.6
null	MAGNANT	70.6	39.7
null	SAINT THIBAULT	68.1	38.6
null	TORVILLIERS	67.6	38.2
null	VULAINES	65.6	36.5
null	MAROLLES-SUR-SEINE	65.4	36.4
null	FORGES	65.4	36.4
null	CHATILLON-LABORDE	67.6	38.2
null	ST-GERMAIN-LAXIS	67.6	38.2
null	LES EPRUNES	68.6	39.0
null	VILLENEUVE-DONDAGRE	61.5	34.4
null	THENNELIERES	69.3	39.3
null	ST-DENIS-LES-SENS	62.6	35.0
null	VILLEFRANCHE-NORD	86.9	49.8
null	ARLAY	84.8	48.2
null	BERSAILLIN	84.6	48.1
null	BEAUREPAIRE	85.9	48.9
null	LE MIROIR	86.9	49.7
null	BEAUPONT	87.8	50.5
null	VAL DE SAONE	90.3	51.4
null	LA BOISSE - MONTLUEL	92.4	53.2
null	LA COTIERE	93.1	53.7
null	ROBECOURT	78.7	44.7
null	BELLEGARDE	96.5	55.5
null	ELOISE	97.8	56.4
null	VIRY	1.8	59.0
null	DEUX CHAISES	17.0	9.7
null	ST AMAND-MONTROND	19.1	11.3
null	FORET DE TRONCAIS	16.5	9.9
null	MONTLUCON	16.2	9.7
null	MONTMARAULT	14.1	8.0
null	GANNAT	12.2	6.9
null	COMBRONDE	10.3	6.0
null	RIOM	10.9	6.3
null	GERZAT-VILLE	11.4	6.5
null	CLERMONT-BARRIERE	12.8	7.4
null	FLEURY-EN-BIERE	63.5	35.6
null	URY	62.0	34.7
null	FONTAINEBLEAU	61.2	34.2
null	NEMOURS	61.2	34.2
null	COURTENAY	57.9	32.3
null	JOIGNY	59.4	33.1
null	AUXERRE NORD	62.1	34.6
null	AUXERRE SUD	62.1	34.6
null	NITRY	64.0	35.9
null	AVALLON	65.7	37.3
null	BIERRE-LES-SEMUR	67.7	38.2
null	POUILLY-EN-AUXOIS	71.0	40.0
null	BEAUNE SUD	74.7	42.4
null	CHALON NORD	77.0	43.6
null	CHALON SUD	77.0	43.6
null	TOURNUS	78.4	44.7
null	MACON NORD	81.0	46.1
null	MACON SUD	81.9	46.6
null	BELLEVILLE S/SAONE	83.4	47.4
null	VILLEFRANCHE-VILLE	84.8	48.6
null	VILLEFRANCHE-LIMAS	88.0	50.1
null	NUITS-ST-GEORGES	75.5	42.9
null	DIJON SUD	77.2	43.7
null	DIJON-CRIMOLOIS	77.8	44.4
null	L ISLE-S/LE-DOUBS	86.5	49.5
null	BEAUNE NORD	73.5	41.8
